V1,V2
47001,47189
47030,47288
47053,47189
47053,47268
47058,47555
47058,47660
47161,8675
47161,47205
47189,47288
47189,47570
47189,47980
47245,47318
47288,47551
47318,13440
47318,47692
47545,47707
47555,13212
47555,13894
47555,47170
47555,47798
47692,13650
47707,13780
50001,50006
50001,50226
50001,50245
50001,50313
50001,50573
50001,50606
50001,50680
50001,97001
50006,50150
50006,50318
50110,85440
50124,50573
50150,50223
50150,50689
50287,50313
50313,50251
50313,50400
50313,50577
50313,50590
50313,50683
50313,50711
50325,50689
50330,50683
50450,95001
50568,85230
50568,99773
50573,95001
52001,52019
52001,52110
52001,52240
52001,52260
52001,52287
52001,52320
52001,52356
52001,52381
52001,52411
52001,52678
52001,52683
52001,52687
52001,52786
52001,52788
52001,52835
52001,52838
52001,52885
52001,76001
52001,86219
52001,86749
52019,52258
52019,52685
52019,52694
52036,52683
52079,52835
52207,52683
52215,52352
52227,52356
52233,52540
52240,52051
52250,76109
52256,52786
52287,52354
52317,52720
52323,52573
52352,52356
52356,52022
52356,52224
52356,52560
52356,52573
52356,52585
52378,52694
52399,19290
52399,52694
52418,52678
52490,76109
52506,52838
52520,52835
52540,52786
52678,52385
52693,52694
52699,52838
52720,52838
52786,52254
52835,52612
52838,52435
54001,54099
54001,54172
54001,54261
54001,54405
54001,54553
54001,54660
54001,54673
54001,54810
54001,54874
54003,68615
54206,54800
54261,54720
54377,54518
54398,54498
54480,68820
54498,54245
54498,54800
54518,54520
54518,68001
63001,63111
63001,63130
63001,63190
63001,63401
63001,63470
63001,63548
63001,63594
63001,63690
63272,66001
63302,63548
66001,66075
66001,66088
66001,66170
66001,66400
66001,66572
66001,66687
66001,76020
66001,76147
66001,76845
66088,66318
66088,66456
66170,66440
66170,66682
68001,68081
68001,68276
68001,68307
68001,68547
68001,68615
68001,68679
68001,68780
68051,68276
68051,68669
68079,68679
68079,68872
68081,68235
68081,68575
68081,68745
68092,68307
68092,68895
68162,68684
68167,68498
68190,68385
68190,68573
68209,68320
68209,68500
68209,68745
68229,68679
68250,68385
68255,68615
68276,68418
68307,68406
68307,68655
68307,68689
68377,15531
68385,68720
68406,68820
68432,68684
68464,68855
68498,68217
68498,68855
68500,68770
68573,68745
68669,68684
68679,68855
68682,68684
68684,15218
68684,15753
68684,68147
68684,68686
68745,68755
70001,70215
70001,70233
70001,70670
70001,70678
70001,70742
70001,70823
70124,70708
70204,70230
70204,70823
70215,70473
70215,70702
70221,70820
70265,70429
70418,70473
70429,13006
70429,70708
70508,70717
70742,70235
70823,70523
73001,73026
73001,73043
73001,73124
73001,73168
73001,73268
73001,73408
73001,73547
73001,73624
73001,73678
73001,73854
73001,73861
73030,73408
73043,73686
73055,73408
73067,73168
73067,73555
73148,73449
73152,73411
73168,73616
73168,73675
73200,73268
73217,73563
73236,73563
73268,73319
73268,73585
73268,73770
73270,73443
73283,73443
73408,73411
73449,73226
73483,73024
73504,73585
73547,25324
73563,73585
73585,73671
73585,73873
76001,76109
76001,76111
76001,76130
76001,76233
76001,76275
76001,76364
76001,76520
76001,76834
76001,76892
76036,76834
76041,76147
76054,76246
76100,76113
76111,76126
76111,76318
76111,76890
76113,76834
76122,76736
76126,76606
76147,76246
76147,76497
76147,76823
76233,76377
76243,66383
76248,76306
76248,76520
76250,76863
76400,76403
76400,76895
76520,76563
76520,76869
76616,76828
76616,76834
76622,76895
76670,76834
76736,76834
76736,76863
76834,76895
81001,81065
81001,81220
81001,81794
81065,81736
81736,81300
85001,85010
85001,85225
85001,85250
85001,85263
85001,85430
85010,15518
85010,85139
85010,85162
85010,85410
85125,85250
86001,86885
86320,86569
86320,86865
86568,86569
86568,86573
86569,86885
86571,86885
86865,86757
88001,88564
95001,95025
95015,95025
99001,99524
15681,15580
15514,15135
41078,41206
85263,85400
15480,15580
25841,25279
47205,47960
15368,15753
15248,15180
15248,15673
15537,15720
15537,15757
15673,15753
15720,15755
15753,15810
18247,18256
